country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",12-04-2026 11:00,25.251013,86.989001,PM2.5,22,77,48
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",12-04-2026 11:00,25.251013,86.989001,PM10,26,113,75
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",12-04-2026 11:00,25.251013,86.989001,NH3,1,1,1
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",12-04-2026 11:00,26.146529,87.454184,NO2,1,9,2
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",12-04-2026 11:00,26.146529,87.454184,OZONE,10,11,10
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",12-04-2026 11:00,24.75746,84.366208,NO2,5,10,9
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",12-04-2026 11:00,24.75746,84.366208,NH3,1,3,2
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",12-04-2026 11:00,24.75746,84.366208,CO,80,109,102
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",12-04-2026 11:00,26.446912,91.439057,PM2.5,29,45,39
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",12-04-2026 11:00,26.446912,91.439057,NO2,13,15,14
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",12-04-2026 11:00,26.446912,91.439057,NH3,5,7,6
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",12-04-2026 11:00,26.446912,91.439057,SO2,3,10,7
India,Assam,Silchar,"Tarapur, Silchar - PCBA",12-04-2026 11:00,24.82827,92.79525,NO2,22,29,26
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",12-04-2026 11:00,25.56752,83.966379,OZONE,5,44,6
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",12-04-2026 11:00,24.7955,84.9994,PM2.5,40,158,70
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",12-04-2026 11:00,24.792403,84.992416,NO2,9,13,12
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",12-04-2026 11:00,26.1875,91.744194,NH3,1,1,1
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",12-04-2026 11:00,26.1875,91.744194,CO,18,46,22
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",12-04-2026 11:00,26.181742,91.78063,NH3,1,1,1
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",12-04-2026 11:00,26.181742,91.78063,SO2,2,7,4
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",12-04-2026 11:00,25.42742023,86.13886079,CO,15,19,16
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",12-04-2026 11:00,26.80365,84.51954,PM10,15,74,39
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",12-04-2026 11:00,25.265194,87.012947,NO2,7,8,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",12-04-2026 11:00,25.265194,87.012947,SO2,51,74,59
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",12-04-2026 11:00,26.349082,92.68449,NO2,1,120,8
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",12-04-2026 11:00,26.349082,92.68449,CO,6,26,18
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",12-04-2026 11:00,26.2271665,84.3570427,PM10,47,133,91
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",12-04-2026 11:00,26.2271665,84.3570427,SO2,7,8,8
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",12-04-2026 11:00,30.735567,76.775714,NO2,9,36,15
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",12-04-2026 11:00,30.735567,76.775714,NH3,10,21,17
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",12-04-2026 11:00,26.1209,85.3647,OZONE,7,19,8
